trip_id,block_id,route_id,service_id,direction_id,shape_id
518,207,a3c2d22,2,1,392a_wb1
519,207,61f23b4,2,0,394a_eb1
520,207,61f23b4,2,1,394a_wb1
521,207,a3c2d22,2,0,392a_eb1
522,207,2ad98d8,2,1,396a_wb2
523,208,61f23b4,2,0,394a_eb1
524,208,61f23b4,2,1,394a_wb1
525,208,a3c2d22,2,0,392a_eb1
526,208,2ad98d8,2,1,396a_wb1
527,208,2ad98d8,2,0,396a_eb1
528,208,2ad98d8,2,1,396a_wb1
529,208,2ad98d8,2,0,396a_eb1
530,208,a857d03,2,0,395a_lp1
531,208,b88e084,2,0,393a_eb1
532,208,b88e084,2,1,393a_wb1
533,208,b88e084,2,0,393a_eb1
534,209,b88e084,2,1,393a_wb1
535,209,b88e084,2,0,393a_eb1
536,209,b88e084,2,1,393a_wb1
537,209,a3c2d22,2,1,392a_wb1
538,209,61f23b4,2,0,394a_eb1
539,209,a857d03,2,0,395a_lp1
540,209,b88e084,2,0,393a_eb1
541,209,b88e084,2,1,393a_wb1
542,209,a3c2d22,2,1,392a_wb1
543,209,a3c2d22,2,0,392a_eb1
544,210,a3c2d22,2,0,392a_eb1
545,210,2ad98d8,2,1,396a_wb1
546,210,2ad98d8,2,0,396a_eb1
547,210,a857d03,2,0,395a_lp1
548,210,b88e084,2,0,393a_eb1
549,210,b88e084,2,1,393a_wb1
550,210,a3c2d22,2,1,392a_wb1
551,210,61f23b4,2,0,394a_eb1
552,210,a857d03,2,0,395a_lp1
553,210,b88e084,2,0,393a_eb1
554,210,b88e084,2,1,393a_wb1
555,210,b88e084,2,0,393a_eb1
556,211,61f23b4,2,1,394a_wb1
557,211,a3c2d22,2,0,392a_eb1
558,211,61f23b4,2,1,394a_wb1
559,211,a3c2d22,2,0,392a_eb1
560,211,61f23b4,2,1,394a_wb1
561,211,a3c2d22,2,0,392a_eb1
562,211,2ad98d8,2,1,396a_wb1
563,211,a3c2d22,2,0,392a_eb1
564,212,a3c2d22,2,1,392a_wb1
565,212,61f23b4,2,0,394a_eb1
566,212,a857d03,2,0,395a_lp1
567,212,b88e084,2,0,393a_eb1
568,212,b88e084,2,1,393a_wb1
569,212,a3c2d22,2,1,392a_wb1
570,212,61f23b4,2,0,394a_eb1
571,212,a3c2d22,2,1,392a_wb1
572,212,2ad98d8,2,0,396a_eb2
573,212,2ad98d8,2,0,396a_eb2
574,212,b88e084,2,0,393a_eb1
575,213,a3c2d22,2,1,392a_wb1
576,213,61f23b4,2,0,394a_eb1
577,213,61f23b4,2,1,394a_wb1
578,213,a3c2d22,2,0,392a_eb1
579,213,61f23b4,2,1,394a_wb1
580,213,a3c2d22,2,0,392a_eb1
581,213,2ad98d8,2,1,396a_wb1
582,214,a3c2d22,2,1,392a_wb1
583,214,61f23b4,2,0,394a_eb1
584,214,61f23b4,2,1,394a_wb1
585,214,a3c2d22,2,0,392a_eb1
586,214,2ad98d8,2,1,396a_wb1
587,214,2ad98d8,2,0,396a_eb1
588,301,b88e084,3,1,393a_wb1
589,301,a3c2d22,3,1,392a_wb1
590,301,a3c2d22,3,0,392a_eb1
591,301,a857d03,3,0,395a_lp1
592,301,b88e084,3,0,393a_eb1
593,301,b88e084,3,1,393a_wb1
594,301,61f23b4,3,1,394a_wb1
595,301,61f23b4,3,0,394a_eb1
596,301,a3c2d22,3,1,392a_wb1
597,301,a3c2d22,3,0,392a_eb1
598,302,2ad98d8,3,0,396a_eb1
599,302,2ad98d8,3,1,396a_wb1
600,302,2ad98d8,3,0,396a_eb1
601,302,2ad98d8,3,1,396a_wb1
602,302,2ad98d8,3,0,396a_eb1
603,302,2ad98d8,3,1,396a_wb1
604,302,2ad98d8,3,0,396a_eb1
605,302,2ad98d8,3,1,396a_wb1
606,302,2ad98d8,3,0,396a_eb1
607,302,2ad98d8,3,1,396a_wb1
608,302,2ad98d8,3,0,396a_eb1
609,302,2ad98d8,3,1,396a_wb1
610,302,2ad98d8,3,0,396a_eb1
611,302,2ad98d8,3,1,396a_wb1
612,303,a3c2d22,3,1,392a_wb1
613,303,a3c2d22,3,0,392a_eb1
614,303,a857d03,3,0,395a_lp1
615,303,b88e084,3,0,393a_eb1
616,303,b88e084,3,1,393a_wb1
617,303,61f23b4,3,1,394a_wb1
618,303,61f23b4,3,0,394a_eb1
619,303,a3c2d22,3,1,392a_wb1
620,303,a3c2d22,3,0,392a_eb1
621,303,a3c2d22,3,1,392a_wb1
622,303,a3c2d22,3,0,392a_eb1
623,304,2ad98d8,3,1,396a_wb1
624,304,2ad98d8,3,0,396a_eb1
625,304,2ad98d8,3,1,396a_wb1
626,304,2ad98d8,3,0,396a_eb1
627,304,2ad98d8,3,1,396a_wb1
628,304,2ad98d8,3,0,396a_eb1
629,304,2ad98d8,3,1,396a_wb1
630,304,2ad98d8,3,0,396a_eb1
631,304,2ad98d8,3,1,396a_wb1
632,304,2ad98d8,3,0,396a_eb1
633,304,2ad98d8,3,1,396a_wb1
634,304,2ad98d8,3,0,396a_eb1
635,304,2ad98d8,3,1,396a_wb1
636,304,2ad98d8,3,0,396a_eb1
637,304,2ad98d8,3,1,396a_wb2
638,304,2ad98d8,3,0,396a_eb2
639,305,61f23b4,3,1,394a_wb1
640,305,61f23b4,3,0,394a_eb1
641,305,a3c2d22,3,1,392a_wb1
642,305,a3c2d22,3,0,392a_eb1
643,305,a857d03,3,0,395a_lp1
644,305,b88e084,3,0,393a_eb1
645,305,b88e084,3,1,393a_wb1
646,305,61f23b4,3,1,394a_wb1
647,305,61f23b4,3,0,394a_eb1
648,306,b88e084,3,1,393a_wb1
649,306,b88e084,3,0,393a_eb1
650,306,b88e084,3,1,393a_wb1
651,306,61f23b4,3,1,394a_wb1
652,306,61f23b4,3,0,394a_eb1
653,306,a3c2d22,3,1,392a_wb1
654,306,a3c2d22,3,0,392a_eb1
655,306,a857d03,3,0,395a_lp1
