route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
4817,3903A5279,584451A3903B5279,,Loop,0,2,3,1
4823,3903A5279,582157A3903B5279,,Loop,0,34,9,1
4820,3961A5279,584976A3961B5279,,Loop,0,28,1,1
4817,3903A5279,584484A3903B5279,,Loop,0,1,10,1
4822,3903A5279,584789A3903B5279,,Loop,0,13,6,1
4820,4046A5367,594812A4046B5367,,Loop,0,4_shlepofat,1,1
4820,3903A5279,584576A3903B5279,,Loop,0,12,1,1
4820,4047A5369,595141A4047B5369,,Loop,0,6_poeve,1,1
4820,3903A5279,584593A3903B5279,,Loop,0,18,1,1
4820,4047A5369,595109A4047B5369,,Loop,0,2_poeve,1,1
4820,3961A5279,584965A3961B5279,,Loop,0,29,1,1
4817,4047A5369,595197A4047B5369,,Loop,0,6_holeve,3,1
4817,4047A5369,595181A4047B5369,,Loop,0,5_holeve,3,1
4820,4047A5372,595125A4047B5372,,Loop,0,6_poeve,1,1
4818,3903A5279,584516A3903B5279,,Loop,0,7,2,1
4817,4046A5368,595098A4046B5368,,Loop,0,5_holfat,3,1
4817,4047A5369,595178A4047B5369,,Loop,0,5_holeve,3,1
4817,4046A5368,595058A4046B5368,,Loop,0,1_holfat,3,1
4817,4047A5369,595166A4047B5369,,Loop,0,2_holeve,3,1
4820,4047A5372,595146A4047B5372,,Loop,0,7_poeve,1,1
4820,4047A5370,595115A4047B5370,,Loop,0,4_poeve,1,1
4820,4047A5372,595116A4047B5372,,Loop,0,1_poeve,1,1
4820,3903A5279,584594A3903B5279,,Loop,0,17,1,1
4820,4047A5370,595121A4047B5370,,Loop,0,2_poeve,1,1
4823,3903A5279,582162A3903B5279,,Loop,0,35,9,1
4818,3903A5279,584487A3903B5279,,Loop,0,3,2,1
4820,3961A5279,584930A3961B5279,,Loop,0,25,1,1
4820,3961A5279,584982A3961B5279,,Loop,0,28,1,1
4820,4047A5370,595122A4047B5370,,Loop,0,3_poeve,1,1
4817,4046A5367,595066A4046B5367,,Loop,0,3_holfat,3,1
4820,3962A5279,584985A3962B5279,,Loop,0,33,1,1
